Ticker,Date,Time,Open,High,Low,Close,Volume,OI 
NIFTY1,2018-10-11,09:29:59,10208.7500,10220.0000,10155.5498,10210.0000,3207825,20383050
NIFTY1,2018-10-11,09:44:59,10206.5498,10208.0000,10172.4004,10206.0000,1076550,20715750
NIFTY1,2018-10-11,09:59:59,10206.9004,10239.9004,10192.3496,10204.4004,1268550,20819550
NIFTY1,2018-10-11,10:14:59,10203.0498,10210.0000,10191.0498,10203.9502,518700,20969476
NIFTY1,2018-10-11,10:29:59,10202.5498,10218.3496,10198.0000,10209.7500,327300,20964300
NIFTY1,2018-10-11,10:44:59,10209.7002,10227.0000,10208.0498,10221.8496,447450,20916676
NIFTY1,2018-10-11,10:59:59,10223.0000,10228.0000,10214.0000,10218.0000,430500,21020324
NIFTY1,2018-10-11,11:14:59,10217.5996,10224.4004,10206.2500,10220.0000,411225,21094876
NIFTY1,2018-10-11,11:29:59,10220.0000,10226.8496,10213.5000,10225.5000,293850,21143324
NIFTY1,2018-10-11,11:44:59,10225.5000,10246.0000,10224.2002,10232.5000,576150,21210900
NIFTY1,2018-10-11,11:59:59,10233.0000,10270.0000,10232.0996,10268.3496,764625,21153900
NIFTY1,2018-10-11,12:14:59,10274.4502,10296.4004,10255.7998,10287.3496,917775,21181876
NIFTY1,2018-10-11,12:29:59,10287.2002,10309.0000,10287.0498,10287.0996,773625,21244200
NIFTY1,2018-10-11,12:44:59,10288.0000,10304.4004,10274.0000,10303.0498,412575,21194400
NIFTY1,2018-10-11,12:59:59,10303.0498,10363.8496,10303.0498,10340.8496,1147200,21200100
NIFTY1,2018-10-11,13:14:59,10340.7998,10370.0000,10330.0000,10337.4502,664050,21186000
NIFTY1,2018-10-11,13:29:59,10337.4004,10344.9502,10311.0996,10312.0000,540300,21162750
NIFTY1,2018-10-11,13:44:59,10312.0000,10339.0000,10303.0996,10331.0498,417000,21188476
NIFTY1,2018-10-11,13:59:59,10329.5000,10334.6504,10282.5000,10300.0498,460875,21222224
NIFTY1,2018-10-11,14:14:59,10300.0000,10314.0000,10259.8496,10264.4004,437175,21209624
NIFTY1,2018-10-11,14:29:59,10264.4004,10269.9502,10213.3496,10213.3496,846750,21342376
NIFTY1,2018-10-11,14:44:59,10213.3496,10229.0000,10195.0000,10208.0000,702225,21487200
NIFTY1,2018-10-11,14:59:59,10205.9004,10269.1504,10198.5996,10269.0000,759000,21576524
NIFTY1,2018-10-11,15:14:59,10267.9502,10275.0000,10220.0000,10238.6504,760500,21635250
NIFTY1,2018-10-11,15:29:59,10238.5996,10272.4502,10233.7500,10259.0996,857175,21621824
NIFTY1,2018-10-11,15:44:59,10258.5498,10258.5498,10258.5498,10258.5498,300,21621824
NIFTY1,2018-10-12,09:29:59,10329.6504,10415.0000,10321.9004,10408.2998,1835325,19924576
NIFTY1,2018-10-12,09:44:59,10407.4502,10434.5000,10405.0996,10416.0000,735000,20141324
NIFTY1,2018-10-12,09:59:59,10416.0000,10432.0000,10408.7998,10428.0000,381225,20187600
NIFTY1,2018-10-12,10:14:59,10429.0996,10457.5000,10425.0000,10454.0996,598275,20256000
NIFTY1,2018-10-12,10:29:59,10455.0996,10459.0000,10437.0498,10449.0000,627825,20440650
NIFTY1,2018-10-12,10:44:59,10449.0000,10454.0000,10431.4004,10437.4004,465525,20471250
NIFTY1,2018-10-12,10:59:59,10438.0498,10454.6504,10437.6504,10442.2998,430350,20624924
NIFTY1,2018-10-12,11:14:59,10443.7500,10449.9004,10436.5498,10448.0000,240675,20653500
NIFTY1,2018-10-12,11:29:59,10448.0000,10468.0000,10446.6504,10456.5996,508425,20768024
NIFTY1,2018-10-12,11:44:59,10457.8496,10463.6504,10445.2002,10457.9004,370050,20854876
NIFTY1,2018-10-12,11:59:59,10458.2500,10469.0000,10455.2002,10462.5498,271050,20936776
NIFTY1,2018-10-12,12:14:59,10462.5498,10463.9004,10447.5498,10449.3496,255075,20877300
NIFTY1,2018-10-12,12:29:59,10449.2002,10460.6504,10449.2002,10454.7998,188475,20866500
NIFTY1,2018-10-12,12:44:59,10455.0996,10467.4502,10442.5498,10466.2500,230475,20830724
NIFTY1,2018-10-12,12:59:59,10466.2500,10479.0000,10465.7500,10477.0996,318000,20941050
NIFTY1,2018-10-12,13:14:59,10477.0996,10477.0996,10457.2002,10474.0000,198225,20962124
NIFTY1,2018-10-12,13:29:59,10474.0000,10498.0000,10473.0498,10491.4502,508875,20949376
NIFTY1,2018-10-12,13:44:59,10491.4502,10497.0000,10477.0498,10482.2998,263625,20616600
NIFTY1,2018-10-12,13:59:59,10482.7500,10483.5000,10465.1504,10477.4502,354375,20645176
NIFTY1,2018-10-12,14:14:59,10477.4502,10495.0000,10474.2500,10493.4502,308025,20616076
NIFTY1,2018-10-12,14:29:59,10493.8496,10504.4502,10475.0000,10476.0996,486600,20595676
NIFTY1,2018-10-12,14:44:59,10476.8496,10494.9502,10461.0498,10466.9004,424425,20610676
NIFTY1,2018-10-12,14:59:59,10465.9004,10480.0000,10452.7998,10474.0000,476475,20568900
NIFTY1,2018-10-12,15:14:59,10474.2002,10504.0000,10473.9502,10493.5498,702525,20700224
NIFTY1,2018-10-12,15:29:59,10494.8496,10496.9502,10473.7500,10483.0000,1050525,20682376
NIFTY1,2018-10-12,15:44:59,10485.9004,10485.9004,10485.9004,10485.9004,2025,20682376
NIFTY1,2018-10-15,09:29:59,10500.5498,10503.9502,10445.0000,10465.0498,1001625,19468124
NIFTY1,2018-10-15,09:44:59,10465.0498,10466.0000,10441.2002,10448.2002,417000,19481024
NIFTY1,2018-10-15,09:59:59,10448.2002,10449.7998,10428.0000,10436.0498,487200,19549200
NIFTY1,2018-10-15,10:14:59,10436.5000,10453.2002,10428.0000,10448.0000,397725,19653524
NIFTY1,2018-10-15,10:29:59,10446.7002,10453.0000,10441.1504,10446.9004,216150,19725524
NIFTY1,2018-10-15,10:44:59,10446.9004,10446.9004,10422.2500,10441.2998,384300,19798800
NIFTY1,2018-10-15,10:59:59,10441.2998,10444.7998,10415.0000,10421.8496,404325,19884376
